id,title,category,subcategory,kind,countries,hasRunner,version,description
intergrowth,Интергроуз-21 / Fenton chart,3. Педиатрические инструменты,Рост и развитие,calculator,Международный,yes,1.0.0,Кривые роста для недоношенных и после рождения.
iop,"IOP (Goldmann, iCare, Tonopen)",22. Прочие специальности,Офтальмология,calculator,Международный (AAO),yes,1.0.0,Измерение внутриглазного давления разными методами.
iota,IOTA Simple Rules / ADNEX / RMI / ROMA,8. Акушерство и гинекология,Гинекология,calculator,"Международный (IOTA, ESGO)",yes,1.0.0,Оценка злокачественности образований яичников.
ipss,IPSS (AUA Symptom Score),12. Нефрология и урология,Урология,score,,yes,1.0.0,Оценка тяжести симптомов нижних мочевыводящих путей при ДГПЖ.
iss-mm,ISS / R-ISS / R2-ISS / Durie-Salmon,10. Онкология,Стадирование,calculator,Международный (IMWG),yes,1.0.0,Стадирование множественной миеломы.
iss,Injury Severity Score (ISS),7. Травматология и военная медицина,Тяжесть травмы,calculator,Международный,yes,1.0.0,Общая оценка тяжести множественной травмы.
iv-dilution,IV concentration / dilution calculators,1. Клинические калькуляторы,Дозирование,calculator,Международный,yes,1.0.0,Разведение и подготовка растворов для внутривенного введения.
jcs,Japanese Circulation Society / JSH / JSGE / JGCA / JAAM DIC,19. Региональные стандарты,Япония,calculator,Япония,yes,1.0.0,Рекомендации японских медицинских обществ.
katz-adl,Katz ADL / Lawton IADL / FIM,2. Диагностические шкалы,Функциональный статус,score,Международный,yes,1.0.0,Оценка повседневной активности и независимости.
kdigo-ckd,KDIGO категории G1-G5 + A1-A3,12. Нефрология и урология,ХБП,calculator,Международный (KDIGO),yes,1.0.0,Классификация хронической болезни почек.
kdigo,RIFLE / AKIN / KDIGO 2012,12. Нефрология и урология,ОПП,calculator,Международный (KDIGO),yes,1.0.0,Диагностика и стадирование острого повреждения почек.
kellgren,Kellgren-Lawrence (0-4),7. Травматология и военная медицина,Суставы / Хрящ,score,Международный,yes,1.0.0,Рентгенологическая оценка тяжести остеоартроза.
ketle,Индекс Кетле / Эрисмана,19. Региональные стандарты,Россия,calculator,Республика Казахстан,yes,1.0.0,Российские антропометрические индексы.
kfre,Kidney Failure Risk Equation (Tangri),12. Нефрология и урология,ХБП,calculator,Международный,yes,1.0.0,Оценка риска развития терминальной ХБП за 2-5 лет.
khorana-onco,Khorana / ONKOTEV,10. Онкология,Профилактика,calculator,"Международный (ASCO 2020, ESMO 2022, NCCN, ITAC 2022)",yes,1.0.0,Оценка риска ВТЭ у онкологических пациентов.
khorana,Khorana,2. Диагностические шкалы,ВТЭ / Кровотечение,score,"Международный (ASCO 2020, ESMO 2022, NCCN)",yes,1.0.0,Оценка риска ВТЭ у онкологических пациентов на химиотерапии.
kigali,Kigali modification,6. Анестезиология и ICU,ARDS,calculator,Низкоресурсные страны (валидировано в Руанде),yes,1.0.0,Адаптация критериев ОРДС для стран с ограниченными ресурсами.
killip,Killip class (I-IV),4. Кардиология и сосуды,ОКС / ИМ,score,,yes,1.0.0,Классификация острой сердечной недостаточности при ИМ.
kocher,Kocher criteria,3. Педиатрические инструменты,Экстренная педиатрия,score,,yes,1.0.0,Дифференциация септического артрита и транзиторного синовиита у детей.
kps,Karnofsky Performance Status (0-100),2. Диагностические шкалы,Функциональный статус,score,Международный,yes,1.0.0,Функциональный статус в онкологии.
kramer,Kramer scale / Bhutani nomogram,3. Педиатрические инструменты,Новорождённые,score,Международный,yes,1.0.0,Оценка желтухи и показаний к фототерапии у новорождённого.
ktas,KIMS / KAMJE / KoreaMed / Korean Guidelines / KTAS,19. Региональные стандарты,Корея,calculator,"Южная Корея (национальный стандарт triage ED с 2016); также внедряется в Монголии, Вьетнаме, ряде стран Ближнего Востока",yes,1.0.0,Корейские клинические рекомендации и триаж.
kts,Kampala Trauma Score,7. Травматология и военная медицина,Тяжесть травмы,score,"LMIC (Уганда, Кения, LMIC-адаптация)",yes,1.0.0,Оценка травмы для стран с ограниченными ресурсами.
ktv,Kt/V / URR,12. Нефрология и урология,Диализ,calculator,Международный (KDIGO/ISPD),yes,1.0.0,Оценка адекватности процедуры гемодиализа.
la-grade,LA grade A-D / Savary-Miller,22. Прочие специальности,Гастроэнтерология,calculator,Международный (ASGE / ESGE),yes,1.0.0,Эндоскопическая классификация рефлюкс-эзофагита.
lbw,Lean Body Weight (Janmahasatian),1. Клинические калькуляторы,Антропометрия,calculator,Международный,yes,1.0.0,Тощая масса тела - современная формула для анестезиологии.
lefort,Lefort I/II/III,21. Стоматология,Хирургия полости рта,calculator,Международный (Le Fort 1901),yes,1.0.0,Классификация переломов средней зоны лица.
lexicomp,Lexicomp / Micromedex / UpToDate / Epocrates,14. Фармакология и лекарства,Справочники,calculator,США / Международный,yes,1.0.0,Американские лекарственные справочники и базы взаимодействий.
lille,Lille model,7. Травматология и военная медицина,Неотложная хирургия,calculator,,yes,1.0.0,Оценка ответа на ГКС через 7 дней при алкогольном гепатите.
lirads,LI-RADS,10. Онкология,Специфические,calculator,Международный (ACR / AASLD),yes,1.0.0,Стандартизированная оценка очаговых образований печени.
loinc,LOINC,16. Справочники и классификаторы,Терминологии,calculator,"Международный (Regenstrief Institute, США) · 180+ стран",yes,1.0.0,Стандартная терминология лабораторных и клинических наблюдений.
lqts,"Синдромы удлинённого QT (Romano-Ward, Jervell-Lange-Nielsen)",4. Кардиология и сосуды,ЭКГ / Ритм,score,Международный (HRS · ESC · AHA),yes,1.0.0,Диагностика наследственных каналопатий.
lund-mackay,Lund-Mackay CT,22. Прочие специальности,ЛОР,calculator,Международный (EPOS / ERS),yes,1.0.0,Рентгенологическая оценка тяжести хронического синусита.
lund-malmo,Revised Lund-Malmö / BIS1 / BIS2,1. Клинические калькуляторы,Функция почек,calculator,"Европа (Швеция, Скандинавия) · Международный",yes,1.0.0,"Европейские формулы СКФ, точнее у пожилых."
lund-rosner,Lund / Rosner concepts,6. Анестезиология и ICU,Нейроинтенсив,calculator,Международный,yes,1.0.0,Стратегии коррекции внутричерепной гипертензии.
lungrads,Lung-RADS,10. Онкология,Специфические,calculator,"Международный (ACR, USPSTF)",yes,1.0.0,Стандартизированная оценка узлов в лёгких при скрининге.
mace2,MACE 2,5. Неврология и нейрохирургия,ЧМТ,score,,yes,1.0.0,Военная оценка сотрясения мозга на поле боя.
maddrey-lab,Maddrey DF / Lille / Glasgow AH,15. Лабораторная медицина,Печень,calculator,Международный (AASLD/EASL),yes,1.0.0,Оценка тяжести алкогольного гепатита и ответа на ГКС.
maddrey,Maddrey DF / ABIC / GAHS,7. Травматология и военная медицина,Неотложная хирургия,calculator,,yes,1.0.0,Оценка тяжести алкогольного гепатита.
maggic,MAGGIC / Seattle HF / OPTIMIZE-HF / GWTG-HF,4. Кардиология и сосуды,Сердечная недостаточность,calculator,Международный,yes,1.0.0,Оценка прогноза и выживаемости при ХСН.
mai,Medication Appropriateness Index (MAI),22. Прочие специальности,Фармация,calculator,Международный (US / EU),yes,1.0.0,Оценка рациональности назначения лекарственных средств.
mallampati,Mallampati / Cormack-Lehane / LEMON / MACOCHA,6. Анестезиология и ICU,Предоперационная,calculator,Международный,yes,1.0.0,Прогноз трудной интубации.
march-paws,MARCH-PAWS,7. Травматология и военная медицина,Военная медицина,calculator,Стандарт TCCC / NATO / US DoD,yes,1.0.0,Мнемоника алгоритма оказания тактической помощи при травме.
marshall-ct,Marshall CT / Rotterdam / Stockholm / Helsinki,5. Неврология и нейрохирургия,ЧМТ,score,Международный,yes,1.0.0,КТ-классификация тяжести ЧМТ.
martin-hopkins,Martin-Hopkins / Sampson,15. Лабораторная медицина,Липиды,calculator,Международный (AACC · ESC),yes,1.0.0,Точные формулы расчёта ЛПНП при высоких триглицеридах.
martindale,Martindale / Medscape / Davis's Drug Guide,14. Фармакология и лекарства,Справочники,calculator,Международный (40+ стран),yes,1.0.0,Общие лекарственные справочники.
mascc,MASCC / CINV / Hesketh,10. Онкология,Профилактика,calculator,"Международный (MASCC, IDSA 2010, ESMO 2016, NCCN)",yes,1.0.0,Оценка риска тошноты и рвоты при химиотерапии.
masi,MASI / VASI,22. Прочие специальности,Дерматология,calculator,Международный (AAD),yes,1.0.0,Оценка тяжести мелазмы и витилиго.
mason-mayo,Mason / Mayo,7. Травматология и военная медицина,Ортопедия,score,Международный,yes,1.0.0,Классификация переломов головки лучевой кости и локтевого отростка.
mathews,Mathews / Mackaness (angioedema),22. Прочие специальности,Аллергология,calculator,Международный (AAO-HNS 2019),yes,1.0.0,Классификация и диагностика ангионевротического отёка.
mayo-arup,Mayo Clinic / ARUP / Quest / LabCorp,15. Лабораторная медицина,Референсы,calculator,"США (Mayo Clinic, ARUP)",yes,1.0.0,Американские лабораторные справочники и референсы.
mayo-uc,Mayo / Truelove-Witts,7. Травматология и военная медицина,Неотложная хирургия,calculator,"Международный (ACG 2019, ECCO 2022)",yes,1.0.0,Оценка тяжести язвенного колита.
mccabe,McCabe-Jackson,11. Инфекционные болезни,Контроль инфекций,calculator,"Международный (США, эпидемиология)",yes,1.0.0,Оценка прогноза основного заболевания у пациентов с инфекциями.
mcdonald,McDonald criteria 2017,5. Неврология и нейрохирургия,Рассеянный склероз,calculator,,yes,1.0.0,Диагностические критерии рассеянного склероза.
mcgill,McGill Pain Questionnaire,2. Диагностические шкалы,Боль,score,Международный (IMMPACT),yes,1.0.0,Качественная характеристика болевого синдрома.
mchat-autism,M-CHAT-R/F / ADOS-2 / ADI-R / CARS-2 / AQ / SRS-2,9. Психиатрия и психология,Аутизм,calculator,Международный (AAP),yes,1.0.0,Скрининг и диагностика расстройств аутистического спектра.
mchat,M-CHAT-R/F,3. Педиатрические инструменты,Психомоторное развитие,score,Международный,yes,1.0.0,Скрининг расстройств аутистического спектра у детей 16-30 месяцев.
mchs-russia,МЧС РФ (I-IV цветовая),7. Травматология и военная медицина,Триаж MASCAL,calculator,Российская Федерация,yes,1.0.0,Российский цветовой триаж при чрезвычайных ситуациях.
mdcalc,MDCalc,18. Учебные инструменты,Калькуляторы,calculator,"США / Международный (MD Aware LLC, сейчас часть Google Health)",yes,1.0.0,Крупнейший агрегатор клинических калькуляторов и шкал.
mdrd,MDRD (4-var),1. Клинические калькуляторы,Функция почек,calculator,,yes,1.0.0,"Оценка СКФ (историческая, заменена на CKD-EPI)."
medwatch,FDA MedWatch / EudraVigilance / Yellow Card / Росздравнадзор,22. Прочие специальности,Фармация,calculator,США (FDA),yes,1.0.0,Системы фармаконадзора и отчётности о побочных реакциях.
mehta,Mehta / Cleveland Clinic,6. Анестезиология и ICU,AKI,score,,yes,1.0.0,Оценка риска ОПП после кардиохирургии.
meld,MELD / MELD-Na / MELD 3.0 / PELD / UKELD,15. Лабораторная медицина,Печень,calculator,США (UNOS) · Международный,yes,1.0.0,Оценка тяжести заболеваний печени и приоритета трансплантации.
meniere,Ménière AAO-HNS staging,22. Прочие специальности,ЛОР,calculator,Международный (Barany Society / AAO-HNS),yes,1.0.0,Стадирование и оценка тяжести болезни Меньера.
meows,MEOWS,2. Диагностические шкалы,Раннее распознавание,score,Великобритания/Европа,yes,1.0.0,Раннее распознавание ухудшения в акушерстве.
merck-vet,Merck Veterinary Manual / AAHA / AAFP / WSAVA,20. Ветеринарная медицина,Справочники,calculator,США / международный (MSD),yes,1.0.0,Крупнейшие ветеринарные клинические справочники.
mews,MEWS,2. Диагностические шкалы,Раннее распознавание,score,Великобритания/Европа,yes,1.0.0,Базовая шкала раннего предупреждения (предшественник NEWS).
mg-kg,mg/kg dosing,1. Клинические калькуляторы,Дозирование,calculator,Международный,yes,1.0.0,Расчёт дозы препарата по массе тела (педиатрия и интенсивная терапия).
mgfa,MGFA (I-V) / MG-ADL / QMG / MG-QOL15,5. Неврология и нейрохирургия,Миастения / ALS / GBS,score,Международный (MGFA),yes,1.0.0,Классификация и оценка тяжести миастении.
midas,MIDAS / HIT-6 / MSQ,5. Неврология и нейрохирургия,Головная боль,calculator,Международный,yes,1.0.0,Оценка влияния мигрени на качество жизни.
mims,MIMS,14. Фармакология и лекарства,Справочники,calculator,"Великобритания · Азия (Сингапур, Малайзия, Гонконг, Филиппины, Индия) · Австралия",yes,1.0.0,Лекарственный справочник Австралии и стран Азии.
mini-cog,Mini-Cog / GPCOG / AD8 / IQCODE,5. Неврология и нейрохирургия,Деменция,score,,yes,1.0.0,Короткий скрининг когнитивных нарушений.
mmpi,MMPI / PAI / MCMI / SCID-5-PD / PID-5 / Rorschach / TAT / 16PF / NEO-PI-R,9. Психиатрия и психология,Личность,calculator,США / Международный,yes,1.0.0,Оценка личности и личностных расстройств.
mmrc,mMRC / CAT,13. Пульмонология,ХОБЛ,score,,yes,1.0.0,Оценка выраженности симптомов при ХОБЛ.
mmse,"MMSE (Folstein, 0-30)",5. Неврология и нейрохирургия,Деменция,score,,yes,1.0.0,Скрининг когнитивных нарушений и деменции.
mna,MNA / MNA-SF,2. Диагностические шкалы,Питание,score,Международный · Гериатрия,yes,1.0.0,Оценка нутритивного статуса у пожилых.
moca,MoCA (0-30),5. Неврология и нейрохирургия,Деменция,score,,yes,1.0.0,Скрининг лёгких когнитивных нарушений.
modified-brooke,Modified Brooke / Galveston (Shriners) / ABLS,1. Клинические калькуляторы,Дозирование,calculator,США (ABA / ABLS) · Международный,yes,1.0.0,Альтернативные схемы инфузии при ожогах у взрослых и детей.
mods-lods,SOFA / MODS / LODS / TISS-28 / NEMS,6. Анестезиология и ICU,Тяжесть в ICU,calculator,Международный,yes,1.0.0,Оценка полиорганной дисфункции в ICU.
morse,Morse Fall Scale / Hendrich II / STRATIFY,2. Диагностические шкалы,Функциональный статус,score,Международный,yes,1.0.0,Оценка риска падений у стационарных пациентов.
mpi,Mannheim Peritonitis Index,7. Травматология и военная медицина,Неотложная хирургия,score,"Международный (Германия, Европа, РФ)",yes,1.0.0,Прогноз смертности при перитоните.
mpm,MPM II-0 / 24,6. Анестезиология и ICU,Тяжесть в ICU,calculator,Международный,yes,1.0.0,Модель предсказания смертности в ICU.
mrs-stroke,mRS (0-6),5. Неврология и нейрохирургия,Инсульт,calculator,,yes,1.0.0,Оценка функциональных исходов после инсульта.
mrs,Modified Rankin Scale (0-6),2. Диагностические шкалы,Функциональный статус,calculator,,yes,1.0.0,Оценка инвалидизации после инсульта.
msfc,MSFC / MSSS / ARMSS,5. Неврология и нейрохирургия,Рассеянный склероз,calculator,Международный,yes,1.0.0,Функциональные индексы при рассеянном склерозе.
mtp,Массивная трансфузия 1:1:1 (PROPPR) / TIC,6. Анестезиология и ICU,Трансфузия,calculator,Международный,yes,1.0.0,Протоколы массивной трансфузии при кровопотере.
mts,Manchester Triage System (MTS),2. Диагностические шкалы,Триаж,score,Великобритания/Европа,yes,1.0.0,Сортировка пациентов по приоритету - стандарт UK и Европы.
murray-ecmo,Murray score,6. Анестезиология и ICU,ECMO,calculator,Международный (ELSO),yes,1.0.0,Показания к началу ECMO при тяжёлом ОРДС.
murray,Murray Lung Injury Score,6. Анестезиология и ICU,ARDS,calculator,Международный,yes,1.0.0,Оценка тяжести острого повреждения лёгких.
must,MUST,2. Диагностические шкалы,Питание,score,Великобритания · ЕС · Международный,yes,1.0.0,Скрининг недоедания у взрослых (стандарт UK).
mz-ru,Клинические рекомендации Минздрава РФ,19. Региональные стандарты,Россия,calculator,Российская Федерация,yes,1.0.0,Обязательные клинические рекомендации в России с 2025 года.
mz-standards,Стандарты и порядки оказания медпомощи,19. Региональные стандарты,Россия,calculator,Российская Федерация,yes,1.0.0,Федеральные стандарты оказания медицинской помощи в России.
na-corrected,Corrected Na⁺ для гипергликемии,1. Клинические калькуляторы,Электролиты / КЩС,calculator,,yes,1.0.0,Истинный натрий при выраженной гипергликемии.
naegele,Naegele's rule,8. Акушерство и гинекология,Беременность,calculator,,yes,1.0.0,Расчёт предполагаемой даты родов.
nafld-fs,NAFLD FS / BARD / HAIR / NAFL-PT,15. Лабораторная медицина,Печень,calculator,Международный (AASLD / EASL),yes,1.0.0,Оценка фиброза при неалкогольной жировой болезни печени.
nanda,NANDA-I / NIC / NOC / ICNP / Omaha System,16. Справочники и классификаторы,Сестринство,calculator,"Международный (NANDA International) · США, Европа, Япония, Бразилия",yes,1.0.0,Классификации сестринских диагнозов и вмешательств.
naranjo,Naranjo / WHO-UMC causality,22. Прочие специальности,Фармация,calculator,Международный (WHO / FDA),yes,1.0.0,Оценка причинно-следственной связи побочной реакции на лекарство.
neer,Neer / Codman,7. Травматология и военная медицина,Ортопедия,score,Международный,yes,1.0.0,Классификация переломов проксимального отдела плечевой кости.
netter,Netter / Gray's / Sobotta / Prometheus,18. Учебные инструменты,Визуализация / Анатомия,calculator,США / Международный (Elsevier),yes,1.0.0,Классические атласы анатомии.
news2,NEWS2,2. Диагностические шкалы,Раннее распознавание,score,"Великобритания (NHS, RCP) · EU",yes,1.0.0,Раннее распознавание клинического ухудшения - стандарт NHS.
nhg,NHG-standards / NVVC / Farmacotherapeutisch Kompas,19. Региональные стандарты,Европа,calculator,Нидерланды (также используется во Фландрии),yes,1.0.0,Нидерландские клинические стандарты.
niaid,NIAID food allergy criteria,22. Прочие специальности,Аллергология,calculator,Международный (NIAID 2006 / WAO 2020),yes,1.0.0,Критерии диагностики пищевой аллергии.
nice-cks,NICE CKS / NHS Clinical Guidance,18. Учебные инструменты,Базы знаний,calculator,"Великобритания (NHS England, NICE)",yes,1.0.0,Британские клинические резюме и рекомендации NHS.
nice-uk,NICE / SIGN / BNF / BNFc,19. Региональные стандарты,Европа,calculator,"Великобритания (England, Wales; Scotland — частично, есть отдельный SIGN)",yes,1.0.0,Британские клинические рекомендации и формуляры.
nigrovic,Bacterial Meningitis Score (Nigrovic),11. Инфекционные болезни,Менингит,calculator,Международный (США / IDSA),yes,1.0.0,Дифференциация бактериального и вирусного менингита у детей.
nihss,NIHSS (0-42),5. Неврология и нейрохирургия,Инсульт,score,,yes,1.0.0,Оценка тяжести неврологического дефицита при инсульте.
nips,NIPS / CRIES / N-PASS / PIPP-R,2. Диагностические шкалы,Боль,score,Международный,yes,1.0.0,Оценка боли у новорождённых.
niss,New ISS / AIS 2015 / ICISS / TMPM,7. Травматология и военная медицина,Тяжесть травмы,calculator,Международный,yes,1.0.0,Альтернативные шкалы тяжести травмы.
nmibc,"EAU NMIBC risk (EORTC, CUETO)",12. Нефрология и урология,Урология,calculator,Международный (EAU),yes,1.0.0,Оценка риска рецидива и прогрессии немышечно-инвазивного рака мочевого пузыря.
nolla,Nolla / Demirjian,21. Стоматология,Детская стоматология,calculator,Международный,yes,1.0.0,Оценка стадий развития зубов у детей.
non-hdl,Non-HDL / ApoB / Lp(a),15. Лабораторная медицина,Липиды,calculator,Международный (ESC/EAS · AHA/ACC),yes,1.0.0,Современные маркеры атерогенности.
nordic,Felleskatalogen / FASS / Pro.medicin.dk,19. Региональные стандарты,Европа,calculator,Скандинавия: Дания / Норвегия / Швеция / Финляндия / Исландия,yes,1.0.0,Скандинавские лекарственные и клинические справочники.
nottingham,Nottingham / HER2 ASCO/CAP / Ki-67 / IHC4,10. Онкология,Специфические,calculator,Международный (WHO / CAP),yes,1.0.0,Гистологические показатели рака молочной железы.
npi-breast,Nottingham Prognostic Index (NPI),10. Онкология,Специфические,calculator,Международный (UK / ESMO),yes,1.0.0,Прогностический индекс при раке молочной железы.
npi,NPI,5. Неврология и нейрохирургия,Деменция,calculator,,yes,1.0.0,Оценка нейропсихиатрических симптомов при деменции.
npsi,DN4 / LANSS / painDETECT / NPSI,5. Неврология и нейрохирургия,Нейропатическая боль,calculator,Международный,yes,1.0.0,Скрининг и характеристика нейропатической боли.
nrp,NRP (AAP),17. Протоколы экстренной помощи,Реанимация,calculator,"AAP (США), международно адаптируется",yes,1.0.0,Американский алгоритм реанимации новорождённых.
nrs2002,NRS-2002,2. Диагностические шкалы,Питание,score,Европа (ESPEN) · Международный,yes,1.0.0,Скрининг нутритивного риска в стационаре (ESPEN).
nsqip,ACS NSQIP Risk Calculator,2. Диагностические шкалы,Периоперационная,score,,yes,1.0.0,Расчёт риска хирургических осложнений (стандарт США).
nt-probnp,NT-proBNP / BNP cutoffs,15. Лабораторная медицина,Сердечные маркеры,calculator,,yes,1.0.0,Возраст-скорректированные пороги для диагностики острой ХСН.
nutric,NUTRIC,2. Диагностические шкалы,Питание,score,Международный · ОРИТ (ASPEN/SCCM),yes,1.0.0,Оценка нутритивного риска в ICU.
nyha,NYHA I-IV,4. Кардиология и сосуды,Сердечная недостаточность,score,,yes,1.0.0,Функциональный класс хронической сердечной недостаточности.
oakland,Oakland score,22. Прочие специальности,Гастроэнтерология,calculator,Международный (BSG / ACG),yes,1.0.0,Оценка риска при нижнем ЖКТ-кровотечении.
oct-normative,RNFL / Macular OCT normative,22. Прочие специальности,Офтальмология,calculator,Международный (AAO),yes,1.0.0,Нормативные базы для анализа оптической когерентной томографии.
odi,ODI (Oswestry) / RMDQ / NDI,22. Прочие специальности,Реабилитация,calculator,Международный,yes,1.0.0,Оценка ограничений при болях в спине и шее.
ofa,OFA / PennHIP / FCI hip scores,20. Ветеринарная медицина,Ортопедия,calculator,США (OFA),yes,1.0.0,Оценка дисплазии тазобедренного сустава у собак.
ohca,OHCA / GO-FAR / CAHP / TTM / NULL-PLEASE,6. Анестезиология и ICU,Остановка сердца,calculator,Международный,yes,1.0.0,Прогноз выживаемости после остановки сердца.
oncotype,Oncotype DX / MammaPrint / BCI,10. Онкология,Специфические,calculator,Международный (ASCO / NCCN / ESMO),yes,1.0.0,Молекулярные тесты рецидива при раке молочной железы.
orads,O-RADS,10. Онкология,Специфические,calculator,Международный (ACR),yes,1.0.0,Стандартизированная оценка образований яичников.
osce,OSCE / Mini-CEX / DOPS / CBD / Milestones / EPAs,18. Учебные инструменты,Оценка компетенций,calculator,Международный (изначально UK/Canada; широко принят в мед образовании),yes,1.0.0,Инструменты оценки клинических компетенций.
osm-gap,Osmolar gap,1. Клинические калькуляторы,Электролиты / КЩС,calculator,Международный,yes,1.0.0,"Выявление токсических спиртов (метанол, этиленгликоль)."
osmosis,Osmosis / AMBOSS / UWorld / Kaplan / Lecturio / Sketchy,18. Учебные инструменты,Образование,calculator,США / Международный (Osmosis by Elsevier),yes,1.0.0,Учебные платформы для студентов и ординаторов.
ots,Ocular Trauma Score (Kuhn),22. Прочие специальности,Офтальмология,calculator,Международный (BETT / AAO),yes,1.0.0,Прогноз остроты зрения после травмы глаза.
ottawa-ankle,Ottawa Ankle/Foot Rules,7. Травматология и военная медицина,Ортопедия,score,,yes,1.0.0,Показания к рентгенографии при травме голеностопа и стопы.
outerbridge,Outerbridge / ICRS,7. Травматология и военная медицина,Суставы / Хрящ,score,Международный,yes,1.0.0,Классификация повреждений суставного хряща.
padua,Padua (IMPROVE),2. Диагностические шкалы,ВТЭ / Кровотечение,score,"Международный (ACCP 2012, ASH 2018)",yes,1.0.0,Оценка риска ВТЭ у терапевтических стационарных пациентов.
paho,WHO/PAHO IMCI / AIEPI / Manchester SUS,19. Региональные стандарты,Латинская Америка,calculator,Латинская Америка и Карибский бассейн (PAHO / WHO AMRO — 35 стран-членов),yes,1.0.0,Панамериканские и ВОЗ-адаптированные протоколы.
pai,PAI (Periapical Index),21. Стоматология,Эндодонтия,calculator,Международный (Orstavik 1986),yes,1.0.0,Рентгенологическая оценка периапикальных изменений.
painad,PAINAD,2. Диагностические шкалы,Боль,score,Международный,yes,1.0.0,Оценка боли у пациентов с деменцией.
palm-coein,RCOG HMB / PALM-COEIN (FIGO),8. Акушерство и гинекология,Гинекология,calculator,"Международный (FIGO, RCOG, NICE)",yes,1.0.0,Классификация аномальных маточных кровотечений.
pals,PALS algorithms,3. Педиатрические инструменты,Экстренная педиатрия,calculator,Международный (AHA),yes,1.0.0,Алгоритмы расширенной педиатрической реанимации AHA.
panss,PANSS / BPRS / SAPS / SANS / CGI / GAF,9. Психиатрия и психология,Психоз,calculator,Международный,yes,1.0.0,Оценка тяжести симптомов психоза и общего функционирования.
parkland-brooke,Parkland / Modified Brooke / Galveston,6. Анестезиология и ICU,Ожоги,calculator,"Международный (ABA, ATLS, ABLS)",yes,1.0.0,Расчёт инфузионной терапии при ожогах.
parkland,Parkland formula,1. Клинические калькуляторы,Дозирование,calculator,"Международный (ATLS, ABA)",yes,1.0.0,Расчёт инфузионной терапии при ожогах в первые 24 часа.
pas,MBSImP / FEES / Rosenbek PAS,22. Прочие специальности,Аудиология / Речь,score,,yes,1.0.0,Оценка функции глотания.
pasi,PASI / BSA / PGA / DLQI / CDLQI,22. Прочие специальности,Дерматология,calculator,,yes,1.0.0,Оценка тяжести псориаза и качества жизни.
pat,Pediatric Assessment Triangle (PAT),3. Педиатрические инструменты,Экстренная педиатрия,calculator,Международный (AAP/AHA PALS),yes,1.0.0,Быстрая визуальная оценка тяжести состояния ребёнка.
pcdt-br,Ministerio da Saúde Brazil PCDT / AMB / SBC / SBP,19. Региональные стандарты,Латинская Америка,calculator,Бразилия,yes,1.0.0,Бразильские клинические протоколы.
pcl5,PCL-5 / CAPS-5 / PC-PTSD-5 / IES-R / DTS / ACE,9. Психиатрия и психология,ПТСР,calculator,Международный (US VA),yes,1.0.0,Скрининг и диагностика ПТСР и травматических переживаний.
pcne,PCNE classification,22. Прочие специальности,Фармация,calculator,Европа (PCNE),yes,1.0.0,"Классификация проблем, связанных с лекарственной терапией."
pdq39,PDQ-39,5. Неврология и нейрохирургия,Паркинсон,calculator,,yes,1.0.0,Оценка качества жизни при болезни Паркинсона.
pears,PEARS,17. Протоколы экстренной помощи,Реанимация,calculator,"AHA (США, международно)",yes,1.0.0,Упрощённый курс распознавания педиатрических неотложных состояний.
pecarn-chalice,PECARN / CHALICE / CATCH,5. Неврология и нейрохирургия,ЧМТ,calculator,США (PECARN) · Великобритания (CHALICE) · Канада (CATCH),yes,1.0.0,Показания к КТ головы у детей при травме.
pecarn-cspine,PECARN C-spine / PECARN abdominal,3. Педиатрические инструменты,Экстренная педиатрия,score,Международный (PECARN),yes,1.0.0,Правила визуализации при травме у детей.
pecarn-head,PECARN head injury algorithm (<2 и ≥2 лет),3. Педиатрические инструменты,Экстренная педиатрия,calculator,Международный (PECARN),yes,1.0.0,Показания к КТ головы у детей с ЧМТ.
pell-gregory,Pell-Gregory / Winter,21. Стоматология,Хирургия полости рта,calculator,"Международный (Pell GJ, Gregory GT, 1933/1942)",yes,1.0.0,Классификация ретенции нижних моляров.
perc,PERC rule,2. Диагностические шкалы,ВТЭ / Кровотечение,score,,yes,1.0.0,Исключение ТЭЛА у пациентов с низкой вероятностью без D-димера.
percist,PERCIST,10. Онкология,Ответ на лечение,calculator,Международный (SNM / EANM),yes,1.0.0,Оценка метаболического ответа по ПЭТ.
pesi,PESI / sPESI,2. Диагностические шкалы,ВТЭ / Кровотечение,score,"Международный (ESC 2019, AHA 2011)",yes,1.0.0,Оценка 30-дневной смертности при подтверждённой ТЭЛА.
pews,PEWS / Bedside PEWS / RCPCH PEWS,2. Диагностические шкалы,Раннее распознавание,score,Международный,yes,1.0.0,Шкалы раннего распознавания ухудшения у детей.
pf-ratio,PaO₂/FiO₂ ratio,1. Клинические калькуляторы,Электролиты / КЩС,calculator,,yes,1.0.0,Индекс оксигенации и градация ARDS (Berlin).
pgcs,Pediatric GCS (pGCS) / AVPU,3. Педиатрические инструменты,Экстренная педиатрия,score,Международный,yes,1.0.0,Оценка уровня сознания у детей.
phq9,PHQ-9 / PHQ-2,9. Психиатрия и психология,Депрессия,score,,yes,1.0.0,Скрининг и мониторинг тяжести депрессии.
phtls-nm,PHTLS / ITLS (NAEMT),17. Протоколы экстренной помощи,Догоспитальная травма,calculator,"NAEMT (США), международно - 80+ стран",yes,1.0.0,Догоспитальные протоколы ведения травмы.
